Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter draught),Domestic Beer (0.5 liter bottle),Imported Beer (0.33 liter bottle),Cigarettes 20 Pack (Marlboro),1 min. of Prepaid Mobile Tariff Local (No Discounts or Plans),"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),"Cinema, International Release, 1 Seat",Country,Capital
2.2,2.2,0.88,1.89,2.2,0.03,6.96,26.27,18.33,5.14, Russia,Saint Petersburg
3.06,3.06,1.79,2.48,2.75,0.11,14.2,25.1,15.66,3.82, Turkey,Istanbul
2.29,2.75,1.63,2.09,2.29,0.09,12.89,20.64,11.67,3.06, Turkey,Izmir
6.5,6.75,2.23,2.95,7.7,0.07,22.31,34.54,24.72,14.0, Finland,Helsinki
1.04,1.43,0.77,1.38,1.56,0.07,8.58,26.64,12.1,5.19, Moldova,Chisinau
5.0,5.0,1.2,2.01,5.5,0.18,28.93,66.62,22.96,10.0, Italy,Milan
1.69,2.82,1.4,2.06,2.26,0.01,14.77,26.19,7.07,4.51, Egypt,Cairo
1.02,1.53,0.5,0.86,2.81,0.1,21.34,20.7,9.38,2.55, Bosnia And Herzegovina,Banja Luka
0.84,2.11,0.76,1.94,2.11,0.03,15.51,30.43,16.73,3.69, Azerbaijan,Baku
1.43,2.39,0.82,1.48,2.48,0.06,27.53,24.59,9.71,3.58, Mexico,Guadalajara
2.38,3.18,1.78,2.5,1.99,0.02,16.66,24.02,8.5,3.06, Nepal,Kathmandu
0.78,1.55,0.65,1.18,1.11,0.06,9.41,24.06,6.68,3.69, Vietnam,Hanoi
0.78,1.36,0.73,1.13,0.97,0.08,10.42,21.48,6.82,3.5, Vietnam,Ho Chi Minh City
1.91,2.86,1.08,2.15,2.48,0.06,26.34,49.56,16.17,3.82, Mexico,Mexico City
5.0,4.0,1.02,1.57,5.5,0.18,29.64,57.77,16.81,8.5, Italy,Rome
1.68,2.39,0.94,1.41,2.49,0.05,25.84,34.28,10.37,3.59, Mexico,Monterrey
1.47,2.94,0.86,1.33,1.91,0.02,7.61,35.51,16.31,3.68, Russia,Yekaterinburg
1.79,1.79,0.62,1.0,2.81,0.12,22.77,26.5,10.58,3.57, Bosnia And Herzegovina,Sarajevo
0.88,1.29,0.66,1.18,1.43,0.03,5.57,18.58,8.27,3.75, Ukraine,Kharkiv
1.13,1.8,0.75,1.32,1.65,0.04,5.11,20.92,11.48,4.31, Ukraine,Kiev
4.81,5.5,2.53,2.75,11.0,0.19,54.67,40.58,16.06,9.62, Canada,Calgary
1.6,1.6,0.74,0.9,2.08,0.06,17.03,22.1,6.44,3.19, Tunisia,Tunis
4.12,4.12,1.54,2.37,9.62,0.23,52.56,38.6,13.33,9.62, Canada,Edmonton
5.0,4.0,1.26,2.07,7.0,0.18,40.47,36.67,25.64,12.0, Netherlands,Amsterdam
1.7,1.95,0.61,1.1,2.8,0.1,21.45,24.61,12.13,4.24, Serbia,Belgrade
0.94,1.2,0.68,1.37,1.51,0.03,5.73,20.84,9.45,4.52, Ukraine,Odessa
7.0,6.0,1.78,2.27,8.8,0.19,27.15,39.98,20.05,11.0, France,Paris
5.0,3.0,1.19,1.78,7.0,0.11,36.18,24.24,19.11,12.0, Netherlands,Eindhoven
1.28,1.53,0.62,1.02,2.81,0.14,11.57,24.85,11.18,5.61, Bulgaria,Plovdiv
3.5,4.5,1.14,1.93,4.5,0.44,30.22,31.3,9.98,8.0, Greece,Thessaloniki
4.81,4.81,1.57,1.94,9.97,0.18,43.85,40.21,16.84,9.62, Canada,Ottawa
1.53,1.97,0.7,1.29,2.86,0.15,10.38,24.34,11.08,6.14, Bulgaria,Sofia
4.0,4.0,0.94,1.54,7.0,0.13,38.2,28.8,19.25,12.0, Netherlands,Rotterdam
1.02,1.53,0.6,0.99,2.81,0.13,11.2,22.19,10.43,6.12, Bulgaria,Varna
1.5,1.8,0.56,0.99,2.72,0.09,19.3,22.89,6.02,3.4, Serbia,Novi Sad
5.0,4.5,1.1,1.75,7.0,0.15,35.06,28.05,20.62,11.0, Netherlands,Utrecht
3.5,3.1,0.86,1.32,6.4,0.1,29.08,26.39,19.23,10.0, Germany,Berlin
3.22,4.17,1.21,1.91,2.19,0.29,49.74,65.66,24.45,8.98, Lebanon,Beirut
4.49,5.39,2.14,3.0,6.06,0.09,55.38,34.53,14.6,10.78, United States,"Austin, TX"
6.66,8.0,3.45,3.8,9.33,0.14,28.85,88.55,8.95,8.66, Singapore,Singapore
5.16,5.5,2.17,2.22,10.31,0.26,44.42,37.38,22.27,10.31, Canada,Toronto
5.68,5.38,3.24,2.76,17.92,0.31,49.79,37.68,10.73,10.75, New Zealand,Auckland
1.5,1.9,0.96,1.46,3.2,0.13,23.52,30.0,10.0,5.0, Montenegro,Podgorica
4.81,4.81,2.06,2.63,10.31,0.25,48.94,35.6,10.7,10.31, Canada,Vancouver
4.1,4.92,2.22,3.45,4.1,0.37,38.33,77.29,26.39,14.75, Japan,Tokyo
4.82,4.82,2.02,2.08,9.64,0.21,54.21,36.17,7.52,10.33, Canada,Victoria
4.12,4.81,1.59,1.92,11.0,0.19,48.43,34.77,14.29,8.94, Canada,Winnipeg
6.29,6.73,2.01,2.32,9.88,0.08,61.7,51.97,15.39,13.47, United States,"Boston, MA"
4.94,6.29,1.82,1.88,11.67,0.16,57.23,42.52,23.05,11.67, United States,"Chicago, IL"
1.07,1.43,0.56,1.1,0.95,0.03,10.47,39.41,9.43,3.58, Kazakhstan,Almaty
9.0,9.1,3.04,3.6,11.98,0.08,45.73,42.44,29.12,14.15, Norway,Oslo
4.0,3.5,0.88,1.2,6.4,0.1,30.74,45.06,20.92,12.0, Germany,Frankfurt
2.0,2.0,0.72,1.27,3.85,0.09,15.69,26.77,12.32,7.99, Slovakia,Bratislava
4.49,5.39,2.18,2.58,6.29,0.13,59.67,32.58,2.99,10.78, United States,"Dallas, TX"
2.01,2.42,1.02,1.6,4.03,0.11,22.12,34.96,9.19,5.37, Croatia,Zagreb
4.0,3.5,0.8,1.18,6.4,0.1,31.29,42.0,21.11,12.0, Germany,Hamburg
2.13,2.36,0.77,1.2,3.78,0.05,12.75,23.27,10.35,5.91, Poland,Krakow (Cracow)
2.9,2.2,1.03,1.31,3.8,0.09,16.2,34.77,21.0,8.0, Latvia,Riga
2.13,2.36,0.76,1.16,3.78,0.07,12.32,28.79,11.36,5.2, Poland,Gdansk
2.95,3.47,1.0,1.67,4.39,0.11,29.58,26.45,15.44,5.78, Chile,Santiago
2.04,2.66,1.86,2.55,2.22,0.03,51.91,45.4,6.81,7.09, Kenya,Nairobi
9.78,9.78,2.97,2.8,5.14,0.13,93.29,73.81,26.32,9.78, United Arab Emirates,Abu Dhabi
5.39,5.84,2.06,2.53,6.29,0.13,54.13,32.13,10.14,9.7, United States,"Houston, TX"
0.93,1.25,0.72,1.02,1.56,0.08,14.09,30.29,8.55,4.49, Georgia,Tbilisi
11.0,11.0,3.79,3.78,5.13,0.11,90.42,71.73,29.52,9.78, United Arab Emirates,Dubai
0.96,2.2,0.76,1.55,1.65,0.05,29.06,23.8,8.0,3.85, Colombia,Bogota
1.39,1.59,0.61,1.04,4.17,0.13,17.58,29.98,9.08,7.62, Czech Republic,Brno
3.8,3.9,0.95,1.15,6.5,0.1,34.09,34.69,20.58,12.0, Germany,Munich
2.01,2.36,0.72,1.0,3.74,0.06,11.62,22.13,11.0,5.9, Poland,Poznan
5.39,6.29,1.88,2.72,7.17,0.19,64.64,23.03,21.05,10.77, United States,"Las Vegas, NV"
5.83,5.25,2.03,2.13,12.83,0.13,37.07,46.02,13.66,14.0, United Kingdom,London
5.39,6.29,1.68,2.24,8.87,0.11,55.74,36.78,10.56,13.47, United States,"Los Angeles, CA"
2.58,3.59,0.71,2.35,4.69,0.11,41.58,40.47,22.46,5.39, Panama,Panama City
3.11,4.67,2.15,2.23,3.5,0.11,19.76,55.64,17.57,7.78, South Korea,Seoul
2.36,2.36,0.78,1.14,3.9,0.06,12.7,25.97,14.4,7.09, Poland,Warsaw
1.59,1.98,0.66,1.26,4.05,0.13,19.95,34.67,12.47,7.93, Czech Republic,Prague
1.89,2.36,0.72,0.96,3.78,0.06,12.26,22.14,12.26,5.91, Poland,Wroclaw
3.32,4.42,2.03,2.94,3.85,0.06,26.76,38.52,6.4,3.98, Malaysia,Kuala Lumpur
6.29,7.19,2.07,2.43,13.48,0.09,55.18,67.04,30.1,14.38, United States,"New York, NY"
6.69,5.35,1.61,2.18,6.02,0.12,34.45,36.85,30.51,14.72, Denmark,Copenhagen
2.6,3.4,1.05,1.73,4.1,0.07,33.0,40.61,13.78,6.78, Slovenia,Ljubljana
1.9,3.17,1.71,2.76,3.81,0.01,10.73,18.59,6.47,3.17, India,Chandigarh
1.49,2.48,1.05,1.66,5.96,0.01,13.95,15.47,5.12,3.48, Sri Lanka,Colombo
1.39,2.53,1.34,2.17,3.16,0.01,11.58,22.23,10.76,3.8, India,Noida
2.7,3.0,1.22,1.71,3.75,0.06,10.14,27.64,18.07,7.0, Lithuania,Kaunas
4.0,4.0,1.4,2.0,4.5,0.34,31.08,28.6,17.98,8.0, Greece,Athens
3.59,4.49,1.41,1.75,6.73,0.1,67.23,27.66,7.38,9.88, United States,"Phoenix, AZ"
5.78,5.78,1.54,2.18,6.82,0.08,21.61,68.37,7.45,11.57, Hong Kong,Hong Kong
4.49,4.49,1.83,3.14,6.29,0.12,60.86,39.9,18.12,10.78, United States,"Portland, OR"
2.0,2.5,1.09,1.93,5.0,0.21,32.35,34.6,11.82,7.0, Portugal,Lisbon
1.95,3.06,0.69,1.89,2.6,0.03,12.43,42.04,15.95,6.51, China,Beijing
2.18,2.49,1.49,1.96,2.49,0.1,61.33,34.45,7.39,5.29, South Africa,Cape Town
1.27,2.0,0.77,1.14,2.63,0.21,19.18,29.49,10.28,4.92, Albania,Tirana
2.0,2.5,0.99,2.13,5.0,0.15,31.12,32.22,11.86,6.95, Portugal,Porto
1.62,1.68,0.96,1.47,2.49,0.12,58.2,27.15,9.31,5.29, South Africa,Durban
1.5,1.8,0.78,1.08,4.04,0.08,13.06,37.85,12.39,5.39, Hungary,Budapest
3.0,3.0,1.08,1.39,3.95,0.08,11.03,27.61,18.39,7.0, Lithuania,Vilnius
1.73,2.2,1.2,1.73,2.82,0.11,59.93,33.16,9.67,5.65, South Africa,Johannesburg
2.5,3.0,0.83,1.44,5.0,0.13,42.57,41.14,18.46,8.5, Spain,Barcelona
5.39,6.29,1.76,2.14,7.19,0.17,56.97,32.62,13.48,12.58, United States,"San Diego, CA"
6.29,7.19,2.04,1.98,10.78,0.09,60.0,77.08,16.81,13.48, United States,"San Francisco, CA"
1.9,2.71,1.5,2.8,3.66,0.17,34.82,48.84,11.07,5.43, Peru,Lima
5.39,5.84,1.83,2.19,9.66,0.09,58.46,48.94,26.51,13.48, United States,"Seattle, WA"
1.25,1.88,0.59,1.01,3.71,0.02,7.53,29.81,9.2,6.27, Romania,Brasov
1.78,2.09,0.72,1.23,3.98,0.07,8.47,35.84,13.26,6.28, Romania,Bucharest
0.9,1.8,0.51,1.46,1.17,0.02,35.48,24.77,5.75,3.59, Uzbekistan,Tashkent
1.9,3.8,1.59,2.99,3.16,0.01,7.34,18.18,7.92,3.16, India,Ahmedabad
1.57,2.09,0.73,1.27,3.87,0.07,7.34,26.21,11.89,5.23, Romania,Cluj-Napoca
3.0,3.0,0.99,1.69,5.0,0.17,41.89,35.57,11.08,9.0, Spain,Madrid
4.0,4.0,1.42,1.53,4.25,0.04,22.88,45.44,23.03,8.0, Estonia,Tallinn
1.9,3.8,1.57,2.99,3.8,0.01,12.42,20.0,5.18,3.8, India,Bangalore
1.26,1.88,0.81,1.3,3.77,0.07,6.8,28.32,8.57,5.02, Romania,Iasi
1.9,3.16,1.49,2.59,3.8,0.01,11.19,17.63,5.58,2.53, India,Chennai
11.13,11.13,7.58,8.42,5.19,0.15,78.31,95.89,24.29,8.66, Qatar,Doha
1.9,3.1,1.36,2.39,3.8,0.01,9.76,21.35,7.29,3.8, India,Delhi
1.96,3.16,1.49,2.38,3.8,0.01,12.81,29.15,7.54,4.43, India,Gurgaon
2.0,2.5,0.69,1.0,5.0,0.18,35.26,31.35,11.62,8.0, Spain,Valencia
4.0,4.0,0.97,1.54,5.5,0.04,30.86,27.44,18.33,10.0, Austria,Vienna
1.52,2.53,1.44,2.36,3.8,0.01,9.47,18.1,7.02,2.53, India,Hyderabad
1.92,2.4,1.56,1.86,3.6,0.16,28.65,40.13,12.75,7.21, Uruguay,Montevideo
7.77,7.77,2.25,3.11,9.07,0.04,24.84,67.82,16.66,10.36, Israel,Tel Aviv-Yafo
1.25,1.67,0.68,1.11,3.61,0.03,7.53,25.3,10.45,5.23, Romania,Timisoara
1.77,2.1,1.41,2.09,3.31,0.13,20.55,40.35,12.08,9.02, Taiwan,Taipei
1.87,3.48,1.53,2.73,3.8,0.01,7.72,15.18,7.07,3.16, India,Kolkata
1.62,1.95,0.73,0.93,2.27,0.1,15.11,22.03,8.51,4.06, Macedonia,Skopje
1.3,2.93,0.66,2.01,2.73,0.03,14.26,44.9,11.8,7.81, China,Shanghai
2.37,4.45,1.79,3.52,4.38,0.05,20.69,61.07,8.37,7.42, Thailand,Bangkok
2.28,3.92,1.7,3.28,3.8,0.01,9.09,24.63,8.89,3.8, India,Mumbai
8.73,7.28,2.46,2.4,10.18,0.15,59.63,54.44,33.0,11.57, Iceland,Reykjavik
6.34,6.34,4.44,5.88,3.17,0.05,38.86,56.38,26.48,10.14, Jordan,Amman
2.28,3.54,1.62,2.61,3.8,0.01,11.7,16.08,5.09,3.54, India,Pune
6.55,6.65,1.82,1.88,6.17,0.12,27.98,37.83,26.69,12.82, Sweden,Stockholm
1.5,1.95,0.99,1.51,1.62,0.13,24.79,25.9,9.29,5.99, Argentina,Buenos Aires
1.8,2.7,0.85,1.77,1.37,0.04,12.84,31.85,15.41,4.04, Belarus,Minsk
2.36,3.81,1.89,3.37,3.46,0.06,65.3,53.68,24.9,5.5, Costa Rica,San Jose
2.58,2.81,2.08,2.03,3.28,0.13,31.63,24.49,15.63,5.63, Morocco,Casablanca
1.77,1.65,0.69,1.0,3.78,0.06,12.53,26.35,10.48,5.9, Poland,Lodz
4.81,5.5,1.77,2.11,8.25,0.23,42.59,23.04,11.17,8.94, Canada,Montreal
1.97,3.29,1.17,2.45,2.19,0.37,24.2,25.41,31.8,7.68, Brazil,Sao Paulo
6.31,6.17,1.56,1.79,6.17,0.08,30.42,32.03,20.7,12.34, Sweden,Gothenburg
5.8,5.5,2.42,2.69,12.7,0.26,54.01,40.22,15.94,12.0, Ireland,Dublin
2.93,2.57,0.93,2.01,2.2,0.03,6.79,41.55,25.26,6.6, Russia,Moscow
1.7,2.55,1.87,2.77,3.4,0.15,50.03,22.49,13.09,5.1, Dominican Republic,Santo Domingo
4.97,5.59,3.41,4.07,18.64,0.32,41.95,34.05,1.42,9.32, Australia,Adelaide
6.24,5.55,1.79,2.55,7.86,0.26,48.71,76.33,32.9,16.64, Switzerland,Zurich
1.13,1.69,0.75,1.23,1.13,0.03,14.09,43.14,11.31,4.7, Armenia,Yerevan
1.25,2.32,0.87,1.48,1.78,0.14,45.47,43.97,5.35,5.35, Philippines,Manila
4.95,5.57,3.36,3.69,18.58,0.18,47.06,40.03,13.15,9.29, Australia,Brisbane
2.62,3.44,2.11,2.79,1.64,0.12,26.47,38.09,9.24,3.28, Indonesia,Jakarta
2.75,3.06,1.74,2.37,2.44,0.11,14.11,20.81,9.5,3.06, Turkey,Ankara
1.5,1.5,0.62,1.32,1.54,0.03,4.44,17.16,8.84,3.75, Ukraine,Lviv
1.1,2.2,0.9,1.5,1.91,0.03,7.96,27.49,17.31,4.4, Russia,Novosibirsk
2.37,3.06,1.64,2.14,2.29,0.12,12.93,23.4,8.21,3.06, Turkey,Bursa
4.0,4.0,1.24,1.87,6.7,0.23,43.43,26.11,16.94,11.0, Belgium,Brussels
7.26,7.26,2.02,3.04,9.08,0.13,24.16,71.27,16.6,10.37, Israel,Jerusalem
5.57,5.57,3.13,3.37,19.01,0.12,43.28,46.28,14.14,12.38, Australia,Melbourne
5.9,5.59,2.99,3.96,18.64,0.32,43.78,39.32,11.99,11.19, Australia,Perth
4.97,4.97,3.42,3.73,20.82,0.38,43.51,47.37,13.5,12.43, Australia,Sydney
1.69,2.81,1.31,1.97,2.25,0.01,16.57,19.58,7.52,3.66, Egypt,Alexandria
1.35,2.7,1.26,2.55,4.49,0.11,36.77,40.91,16.73,5.39, Ecuador,Quito
